EM0,PV0,PV1,PV2,PV3,PV4,PV5
'C','C006    ','ALIMENTOS KELLOGG  S.A.       ','FINAL AV. BOLIVAR ESTE #52    ','SAN JACINTO  MARACAY EDO.     ','ARAGUA                        ','J-0000-1021-8  '
'C','C007    ','COMERC.DE ALIMENTOS VALFA C.A.','CALLE NEGRO PRIMERO C/AV SUCRE','CASA N*4-4 SECTOR SAN JOAQUIN ','SAN JOAQUIN EDO CARABOBO      ','J-301936167    '
'C','C008    ','CORPORACION MM&SI2008 C.A.    ','AV.LARA CON CALLE CARABOBO Y  ','SOUBLETTE C.C. GRAN BAZAR NIVE','P.B.LOCAL 2 VALENCIA          ','J-29795414-5   '
'C','C009    ','CAIP                          ','AVENIDA CARUPANO CAIGUIRE     ','CUMANA EDO SUCRE              ','                              ','J-00019463-7   '
'C','C013    ','DEL MONTE ANDINA C.A.         ','AV. PROLONGACION AV.BERMUDEZ  ','EDIF.PLANTA BAJA PISO 1 LOCAL ','1 ZONA IND.TURMERO EDO ARAGUA ','J-30546458-8   '
'C','C014    ','CVG ALUMINIO DE CARABOBO S.A. ','URB.INDUSTRIAL CARIBE CARRETE ','RA NACIONAL GUACARA SAN JOAQUI','GUACARA EDO CARABOBO          ','J-301663004    '
'C','C015    ','DIST. DE ALIM. LAS NUBES  C.A.','CALLE SUCRE ENTRE DIAZ MORENO ','DE OCA  SECTOR LA CANDELARIA  ','C.C. DON EDUARDO LOCAL 1 Y 2  ','J-30635251-1   '
'C','C016    ','EMBOTELLADORA TEREPAIMA C.A.  ','CALLE GUILLERMO ALVIZU C/CALLE','SAN RAFAEL QTA S/N URB.LA MATA','CABUDARE BARQUISIMETO         ','J-07500963-0   '
'C','C022    ','ECOGRASAS C.A.                ','CALLE 4 PARCELA N*C ZONA PARQU','E INDUSTRIAL MUNICIPAL 1 ETAPA','TINAQUILLO EDO COJEDES        ','J-29801313-3   '
'C','C023    ','ACEGRASAS  C.A.               ','AVENIDA LIBERTADOR EDIFICIO   ','PISO 04 CHACAO CARACAS        ','                              ','J-000110514    '
'C','C038    ','PRODUCTOS FAMILIA  S.A.       ','Carret. Guatire Caucagua Zona ','Indust. Terrinca Secotr El Des','VIO GALPNES 3-4 Edo.Miranda   ','J-30756029-1   '
'C','C040    ','FABRICA BRILUX C.A            ','URB INDUSTRIAL ESTE PARC F 15 ','MANZANA F LOTE 1 AV N# 1      ','GUARENAS EDO MIRANDA          ','J-30091423-2   '
'C','C056    ','NABISCO LA  FAVORITA  C.A.    ','AV LA ESTANCIA CENTRO         ','PANAVEN TORRE A PISO 7        ','CHUAO CARACAS                 ','J-00017602-7   '
'C','C057    ','GALLETAS PUIG  C.A.           ','ZONA IND. RIO NEVERI Av. JOSE ','ANTONIO ANZOATEGUI LOCAL 1 VIA','AEROPUERTO BARCELONA          ','J-00017602-7   '
'C','C065    ','CEREIRA GARRIDO  C.A.         ','COLINAS DE LAMARIPOSA SAN     ','ANTONIO DE LOS ALTOS EDO      ','MIRANDA                       ','J-00017602-7   '
'C','C067    ','COPACKING DE VENEZUELA        ','O/C NUMERO:                   ','000550                        ','                              ','J-00017602-7   '
'C','C069    ','CAIGUA  C.A.                  ','ZONA  INDUSTRIAL TRICENTENARIA','ALTAGRACIA DE ORITUCO  EDO    ','GUARICO                       ','J-06001205-8   '
'C','C070    ','COMERCIALIZACION  CENTRAL  S.A','CARRETERA NACIONAL LA         ','ENCRUCIJADA SAN MATEO EDO     ','ARAGUA                        ','J-06001205-8   '
'C','C075    ','COMERCIAL EL TRENTINO  C.A.   ','CARRETERA PANAMERICANA KM 495 ','VIA LARA-TRUJILLO             ','BARUTA ESTADO MIRANDA         ','J-300242536    '
'C','C076    ','C.A. CENTRAL LA PASTORA       ','CARRETERA PANAMERICANA VIA    ','LARA TRUJILLO Km. 495  LA     ','PASTORA                       ','J-00006277-3   '
'C','C078    ','CONVERTIDORA OSMANA C.A.      ','CARRETERA FILA DE MARICHE KM.9','ZONA INDUSTRIAL LAS TAPIAS    ','GALPON G-2                    ','J-00006277-3   '
'C','C081    ','DISINDUALCA C.A.              ','VIA EL AEROPUERTO             ','BARCELONA                     ','                              ','J-00006277-3   '
'C','C084    ','DITECA                        ','URB.INDUSTRIAL EL PIACHE      ','PARQUE EL VALLE GALPON Z-A    ','                              ','J-00006277-3   '
'C','C085    ','SAL BAHIA                     ','SECTOR LOS POTOCOS CERCA      ','DEL CEMENTERIO NUEVO          ','                              ','J-00006277-3   '
'C','C090    ','INPROA SANTONI C.A.           ','CARRTERA ARAURE AGUA BCA SECT ','POTRERO DE ARMO VIA FERROCARRI','L  ARAURE-Edo. PORTUGUESA     ','J-30827011-3   '
'C','C092    ','DISTRIBUIDORA COCOFRUT  C.A.  ','RESIDENCIAS SUR ALTAMIRA      ','PRIMER PISO N 12 CARACAS      ','                              ','J-00006277-3   '
'C','C093    ','DIROCA                        ','C.C VEGOSA VIA STA ANA ALTAGRA','CIA                           ','                              ','J-00006277-3   '
'C','C095    ','DISTRIBUIDORA COCOFRUT        ','O/C NUMERO:                   ','003532                        ','                              ','J-00006277-3   '
'C','C098    ','DIPROCHER PORLAMAR            ','CALLE RIVAS ENTRE AV MIRANDA  ','I CALLE QUILARTE PORLAMAR     ','                              ','J-00006277-3   '
'C','C103    ','DIST. EL FARO DE MARGARITA    ','CALLE MIRANDA CARAPACHO       ','SAN JUAN BAUTISTA MARGARITA   ','                              ','J-00006277-3   '
'C','C120    ','INDUSTRIALIZACIONES FARALLON  ','AVENIDA PRINCIPAL LOS MESONES ','MULTICENTRO EMPRESARIAL       ','MESONES LOCAL N*3 BARCELONA   ','J-00085667-2   '
'C','C130    ','EMPAQUETADORA LA ESPIGA DORADA','EDIF.BANVENEZ-PEN HOUSE AV.LA ','ESTANCIA CHUAO CARACAS        ','                              ','J-00006277-3   '
'C','C134    ','ENVASES VENEZUELA             ','AV BOLIVAR EDIF EVENCA        ','N.320.322                     ','PTO LA CRUZ                   ','J-00006277-3   '
'C','C150    ','EVEREADY DE VENEZUELA C.A.    ','AV GUAICAIPURO EDIF FORUM PISO','1 URB EL ROSAL                ','CARACAS                       ','J-00006277-3   '
'C','C155    ','** MONCAMAR **                ','O/C NUMERO:                   ','068572                        ','                              ','J-00006277-3   '
'C','C160    ','GALLETERA LA CRUZ C.A.        ','AVENIDA INTERCOMUNAL SECTOR   ','LAS GARZAS BARCELONA          ','                              ','J-00006277-3   '
'C','C165    ','MULTIPHONE VENEZUELA  C.A.    ','Av.San Francisco torre califor','nia  piso 1 ofic 1A.          ','Caracas.                      ','J-30689329-6   '
'C','C171    ','NESTLE VENEZUELA  S.A.        ','PLAZA VENEZUELA LOS CAOBOS  ED','POLAR PLANTA BAJA  CARACAS    ','                              ','J-00012926-6   '
'C','C180    ','INDUGRAM  C.A.                ','ZONA INDUSTRIAL CORPOINDUSTRIA','GALPON 63                     ','                              ','J-30612222-2   '
'C','C185    ','%% EMPAQUESE  S.A. %%         ','O/C NUMERO:                   ','000201                        ','                              ','J-00012926-6   '
'C','C190    ','ALMACENADORA ASOPORTUGUESA C.A','AV. LOS AGRICULTORES FRENTE AL','COMANDO DE LA GUARDIA NACIONAL','ARAURE EDO. ANZOATEGUI        ','J-00012926-6   '
'C','C200    ','INDUSTRIAS KEL  C.A.          ','Av. 2 No. 63 Campo Alegre Vale','ra Edo. Trujillo.             ','                              ','J-00012926-6   '
'C','C201    ','MOLINOS NACIONALES C.A.       ','ZONA INDUSTRIAL MESONES  SECTO','R PUENTE AYALA  SECTOR FUTURO ','GALPON N. 2                   ','J-00012926-6   '
'C','C202    ','LA LUCHA  C.A.                ','1ra. AVENIDA #15  PARQUE IND. ','INDUSTRIAL EL TIGRE GUACARA   ','EDO. CARABOBO                 ','J-07507456-4   '
'C','C203    ','LA LUCHA  C.A.                ','AV. PEDRO RUSSO FERRER  EDIF. ','AGROMIL 1  URB. EL TAMBOR  LOS','TEQUES EDO. MIRANDA           ','J-00021319-4   '
'C','C205    ','INDUSTRIAS HE-MA              ','CALLE LA ESTANCIA KM 9 FILAS  ','DE MARICHE  CARACAS           ','                              ','J-00021319-4   '
'C','C210    ','LACTEOS SAN SIMON C.A.        ','EL GUAYABO EDO-ZULIA.         ','                              ','                              ','J-00021319-4   '
'C','C233    ','MEAD JOHNSON NUTRITION VZLA SC','CALLE BERNARDETTE EDIF.BRISTOC','MYERS DE VZLA PB.URB.LOS CORTI','JOS DE LOURDES CARACAS        ','J-29696136-0   '
'C','C236    ','CADBURY ADAMS S.A.            ','O/C NUMERO:                   ','103508                        ','                              ','J-00000471-4   '
'C','C237    ','PROMOTORA CADBURY ADAMS C.A.  ','O/C NUMERO:                   ','112047                        ','                              ','J-31085464-5   '
'C','C305    ','INDUSTRIAS OJALCA CA          ','CALLE LA YERBABUENO CONJ.     ','INDUSTRIAL LA YERBABUENA GALPO','N/03 CARRIZAL EDO MIRANDA     ','J-00021357-7   '
'C','C324    ','M  A  V  E  S  A    S.A.      ','LOS CORTIJOS DE LOURDES       ','CARACAS                       ','                              ','J-00021357-7   '
'C','C370    ','ETHNOR FARMACEUTICA S.A       ','AV ROMULO GALLEGOS LOS DOS    ','CAMINOS EDIF. JHONNSON &      ','JHONNSON PISO 7 CARACAS       ','J-00012801-4   '
'C','C371    ','EVEREADY DE VENEZUELA C.A     ','AV. GUAICAIPURO URB EL ROSAL  ','EDIF TORRE FORUM PISO 1       ','OFIC 1-B. CARACAS.            ','J-00037427-9   '
'C','C374    ','PRODUCTOS YUPI C.A.           ','AV.ABRAHAM LINCOLN EDIF.CENTUN','6 OF.B URB.SABANA GRANDE      ','CARACAS                       ','J-30665572-7   '
'C','C375    ','PRODUCTOS LA FINA C.A.        ','ZONA INDUSTRIAL CORPOINDUSTRIA','GALPON E-4                    ','TINAQUILLO EDO COJEDES        ','J-30503654-3   '
'C','C380    ','PROAGRO C.A.                  ','AV.EUGENIO MENDOZA EDIF.PROTI ','NAL FTE STADIUM JOSE BERNARDO ','PEREZ VALENCIA EDO CARABOBO   ','J-00103686-5   '
'C','C381    ','PET FOOD DE  VENEZUELA   C.A. ','ZONA INDUSTRIAL EL LOQUE      ','EDO GUARICO                   ','                              ','J-00021357-7   '
'C','C385    ','P L U M R O S E               ','AV ROMULO GALLEGOS TORRE      ','POLINPRA PISO 1               ','URB.SANTA EDUVIGIS CARACAS    ','J-00021357-7   '
'C','C388    ','PROCTER & GAMBLE DE VENEZUELA ','O/C NUMERO:                   ','057716                        ','                              ','J-00021357-7   '
'C','C391    ','PROCTER & GAMBLE DE VENEZUELA ','EDIF. PROCTER & GAMBLE CALLE  ','ALTAGRACIA URB. SOROKAIMA  LA ','TRINIDAD BARUTA EDO. MIRANDA  ','J-00348730-9   '
'C','C392    ','NORDIK QUIMICA DE VZLA.  C.A. ','ZONA IND. GUAYABAL  CALLE C   ','PARCELA # 25  DETRAS DE AGUA M','LOS ALPES  GUARENAS - MIRANDA ','J-30044950-5   '
'C','C393    ','OIL S.A.                      ','AV.ABRAHAN LINCOLN URB.SABANA ','GRANDE TORRE DOMUS PISO 16    ','CARACAS                       ','J-30735353-8   '
'C','C396    ','PAPELES VENEZOLANOS C.A       ','CALLE LAS MERCEDES ENTRE      ','                              ','SORUM PISO 8 EL ROSAL.CARACAS ','J-075883098    '
'C','C405    ','"FUNDAMERCADO"                ','SAN JUAN DE LOS MORROS        ','EDO GUARICO                   ','                              ','G-20001358-3   '
'D','D002    ','ALMACENADORA ASOPORTUGUESA II ','MONTEVIDEO                    ','URUGUAY                       ','                              ','J-31104331-4   '
'D','D006    ','ALIMENTOS KELLOGG'S           ','FINAL AV. BOLIVAR ESTE #52    ','SAN JACINTO  MARACAY EDO.     ','ARAGUA                        ','0000-1021-8    '
'D','D007    ','COMERC.DE ALIMENTOS VALFA C.A.','CALLE NEGRO PRIMERO C/AV SUCRE','CASA N*4-4 SECTOR SAN JOAQUIN ','SAN JOAQUIN EDO CARABOBO      ','J-301936167    '
'D','D008    ','CORPORACION MM&SI 2008 C.A.   ','AV.LARA CON CALLE CARABOBO Y  ','SOUBLETTE C.C.GRAN BAZAR NIVEL','PB.LOCAL 2 VALENCIA           ','J-29795414-5   '
'D','D009    ','CAIP                          ','AVENIDA CARUPANO CAIGUIRE     ','CUMANA EDO SUCRE              ','                              ','J-00019463-7   '
'D','D014    ','CVG ALUMINIO DE CARABOBO S.A. ','URB.INDUST.CARIBE CARRETERA   ','NACIONAL GUACARA SAN JOAQUIN  ','GUACARA EDO CARABOBO          ','J-301663004    '
'D','D016    ','PRODUCTOS DALVI  C.A.         ','Zona Industrial 1 etapa calle ','139.                          ','Maracaibo-Edo-Zulia.          ','J-075009630    '
'D','D017    ','GENERAL DE ALIMENTOS NISA C.A.','AVENIDA 70 ZONIA INDUSTRIAL II','ENTRE CALLES 150 Y B151       ','MARACAIBO EDO. ZULIA          ','J-070002522    '
'D','D022    ','PILLSBURY DE VENEZUELA  C.A.  ','AVENIDA VENEZUELA TORRE CLEMEN','1er  PISO EL ROSAL  CARACAS   ','                              ','J-000110514    '
'D','D032    ','DEMASECA  C.A.                ','3ra. AVENIDA LAS DELICIAS DE  ','SABANA GRANDE  EDIFICIO LAS   ','DELICIAS  1er PISO CARACAS    ','J-00076573-1   '
'D','D034    ','GANMAQUIN DE VENEZUELA  C.A.  ','CALLE ORINOCO  GALPON 05 ZONA ','INDUSTRIAL EL PINONAL MARACAY ','EDPO. ARAGUA                  ','J-00076573-1   '
'D','D038    ','PRODUCTOS FAMILIA  S.A.       ','Carretera Guatir Cauacagua Zo-','na Indust. Terrinca Sector El ','Desvio Galpnes 3-4 Edo.Miranda','J-30756029-1   '
'D','D040    ','FABRICA BRILUX  C.A.          ','URB INDUSTRIAL ESTE PARC F 15 ','MANZANA F LOTE 1 AV N# 1      ','GUARENAS EDO MIRANDA          ','J-30091423-2   '
'D','D069    ','CAIGUA  C.A.                  ','ZONA  INDUSTRIAL TRICENTENARIA','ALTAGRACIA DE ORITUCO  EDO    ','GUARICO                       ','J-06001205-8   '
'D','D070    ','COMERCIALIZADORA CENTRAL S.A. ','CARRETERA NACIONAL LA         ','ENCRUCIJADA SAN MATEO EDO     ','ARAGUA                        ','J-06001205-8   '
'D','D075    ','AZUCARERA RIO TURBIO  C.A.    ','CARRETERA VIEJA VIA YARITAGUA ','SECTOR CHOROBOBO  HACIENDA LA ','UNION  BARQUISIMETO EDO. LARA ','J-06001205-8   '
'D','D076    ','C.A. CENTRAL LA PASTORA       ','CARRETERA PANAMERICANA VIA    ','LARA TRUJILLO Km. 495  LA     ','PASTORA                       ','J-00006277-3   '
'D','D085    ','INDUSTRIAS DON PEDRO C.A.     ','CALLE BB CAMPO AYACUCHO CASA  ','N*S/N SECTOR CAMPO AYACUCHO   ','MATURIN                       ','J-30339823-5   '
'D','D090    ','INPROA RRC C.A                ','O/C NUMERO:                   ','060540                        ','                              ','J-30827011-3   '
'D','D092    ','DIST. COCOFRUT C.A.           ','BARCELONA                     ','                              ','                              ','J-00006277-3   '
'D','D093    ','DIROCA                        ','C.C VEGOSA VIA STA ANA ALTAGRA','CIA                           ','                              ','J-00006277-3   '
'D','D103    ','DIST.EL FARO DE MARGARITA     ','CALLE MIRANDA CARAPACHO       ','SAN JUAN BAUTISTA MARGARITA   ','                              ','J-00006277-3   '
'D','D12     ','LACTEOS HERMANOS CAMACHO  C.A.','1ra. CALLE URB. LOS MOLINOS   ','EDIF. HNOS. CAMACHO  OFC. 103 ','SAN MARTIN CARACAS            ','J-00006277-3   '
'D','D160    ','GALLETERA LA CRUZ C.A.        ','AVENIDA INTERCOMUNAL SECTOR   ','LAS GARZAS BARCELONA          ','                              ','J-00006277-3   '
'D','D165    ','MULTIPHONE VENEZUELA  C.A.    ','Av San Francisco torre Califor','nia  piso I  ofic IA.         ','Caracas.                      ','J-30689329-6   '
'D','D171    ','NESTLE VENEZUELA  C.A.        ','PLAZA VENEZUELA LOS CAOBOS  ED','POLAR PLANTA BAJA  CARACAS    ','                              ','J-00012926-6   '
'D','D180    ',' GILLETTE                     ','AV.LIBERTADOR.CENTRO COMERCIAL','LIBERTADOR TORRE OESTE PLANTA ','BAJA LOCAL 33 LA CAMPI#A      ','J-00012926-6   '
'D','D190    ','ALMACENADORA ASOPORTUGUESA C.A','AV. LOS AGRICULTORES FRENTE AL','COMANDO DE LA GUARDIA NACIONAL','ARAURES EDO. ANZOATEGUI       ','J-00012926-6   '
'D','D201    ','MOLINOS NACIONALES C.A.       ','ZONA IND.LOS MESONES          ','SECTOR PUENTE AYALA SECTOR    ','FUTURO GALPON N.2             ','J-00012926-6   '
'D','D202    ','LA LUCHA  C.A.                ','1ra. AVENIDA #15  PARQUE IND. ','INDUSTRIAL EL TIGRE GUACARA   ','EDO. CARABOBO                 ','J-07507456-4   '
'D','D203    ','LA LUCHA  C.A.                ','AV. PEDRO RUSSO FERRER  EDIF. ','AGROMIL 1  URB. EL TAMBOR  LOS','TEQUES EDO. MIRANDA           ','J-00021319-4   '
'D','D210    ','LACTEOS SAN SIMON             ','AV INTERCOMUNAL ANDVES BELLO  ','PTO LA CRUZ SECTOR MOLORCA    ','                              ','J-00021319-4   '
'D','D220    ','INDUSTRIAS BIOLAVAX C.A.      ','AV.ROMULO GALLEGOS EDIF LE    ','PLANTA BAJA.EL MARQUES        ','CARACAS.                      ','J-00021319-4   '
'D','D228    ','INDAECA                       ','ZONA INDUSTRIAL SAN VICENTE II','CALLE A PARCELA 6 Y 7 MARACAY ','EDO. ARAGUA                   ','J-00021319-4   '
'D','D230    ','ARROZ CRISTAL  C.A.           ','CARRETERA VIA PAYARA ACARIGUA ','EDO. PORTUGUESA               ','                              ','J-00021319-4   '
'D','D233    ','MEAD JOHNSON NUTRITION VZLA SC','CALLE BERNARDETTE EDIF.BRISTOL','MYERS DE VZLA P.B.URB.LOS     ','CORTIJOS DE LOURDES CARACAS   ','J-29696136-0   '
'D','D235    ','KRAFT FOODS VENEZUELA C.A.    ','AV.FRANCISCO DE MIRANDA EDIF. ','SEGUROS VENEZUELA PISO 2 OFIC.','P2 URB.CAMPO ALEGRE CARACAS   ','J-30131018-7   '
'D','D236    ','CADBURY ADAMS S.A.            ','AV.FRANCISCO DE MIRANDA EDIF. ','042221                        ','P2 URB.CAMPO ALEGRE CARACAS   ','J-00000471-4   '
'D','D370    ','ETHNOR FARMACEUTICA S.A       ','AV ROMULO GALLEGOSS LOS DOS   ','CAMINOS EDIF. JHONNSON &      ','JHONNSON PISO 7 CARACAS       ','J-00012801-4   '
'D','D371    ','EVEREADY DE VENEZUELA  C.A.   ','AV.GUAICAIPURO URB EL ROSAL   ','EDIF TORRE FORUM PISO 1       ','OFIC 1-B.CARACAS.             ','J-00037427-9   '
'D','D387    ','IMP.DE ALIMENTOS BEKA  C.A.   ','CALLE SAN RAFAEL CASA NRO. 64 ','SECTOR STA.TERESA DEL TUY     ','                              ','J-30642410-5   '
'D','D388    ','PROCTER & GAMBLE DE VENEZUELA ','O/C NUMERO:                   ','057718                        ','                              ','J-00037427-9   '
'D','D389    ','PROCTER & GAMBLE DE VENEZUELA ','EDIF. PROCTER & GAMBLE CALLE  ','ALTAGRACIA URB. SOROKAIMA  LA ','TRINIDAD BARUTA  EDO. MIRANDA ','J-30810986-0   '
'D','D390    ','PROCTER & GAMBLE DE VENEZUELA ','EDIF. PROCTER & GAMBLE CALLE  ','ALTAGRACIA URB. SOROKAIMA  LA ','TRINIDAD BARUTA EDO. MIRANDA  ','J-30810986-0   '
'D','D391    ','PROCTER & GAMBLE DE VENEZUELA ','EDIF. PROCTER & GAMBLE CALLE  ','ALTAGRACIA URB. SOROKAIMA  LA ','TRINIDAD BARUTA EDO. MIRANDA  ','J-00348730-9   '
'D','D392    ','NORDIK QUIMICA DE VZLA.  C.A. ','ZONA IND. GUAYABAL  CALLE C   ','PARCELA # 25  DETRAS DE AGUA M','LOS ALPES  GUARENAS - MIRANDA ','J-00348730-9   '
'D','D393    ','OIL  S.A.                     ','AV. ABRAHAN LINCON - URB. SABA','NA GRANDE TORRE DOMUS PISO 16 ','CARACAS                       ','J-00348730-9   '
'D','D396    ','PAPELES VENEZOLANOS C.A       ','CALLE LAS MERCEDES ENTRE      ','GUAICAIPURO Y CARABOBO EDIFC  ','SORUM PISO 8. CARACAS.        ','J-075883098    '
'D','D400    ','SALES INDUSTRIALES  C.A.      ','AUTOPISTA DE ORIENTE ROMULO   ','BETANCOURT  ZONA INDUSTRIAL   ','BARBACOA  BARCELONA.          ','J-00348730-9   '
'D','D405    ','"FUNDAMERCADO"                ','SAN JUAN DE LOS MORROS        ','EDO GUARICO                   ','                              ','G-20001358-3   '
'D','D500    ','WILLINER                      ','BV.JULIO ROCCA 883 RAFAELA    ','SANTA FE ARGENTINA            ','                              ','J-00348730-9   '
'D','D910    ','REPRES.HERRERE PTO.ORDAZ      ','PTO ORDAZ                     ','                              ','                              ','J-00348730-9   '
'D','D920    ','REPRESENTACION HERRERA C.A.   ','BARCELONA                     ','ESTADO ANZOATEGUI             ','                              ','J-00348730-9   '
'D','D930    ','INTEGRAL DE ABASTOS  C.A.     ','CALLE TAMANACO  DETRAS DE TAMA','YO & CIA. CONEJEROS  EDO. NVA.','ESPARTA                       ','J-00348730-9   '
'D','D940    ','HERRERA CONSUMA               ','CUMANA                        ','ESTADO SUCRE                  ','                              ','J-00348730-9   '
'G','G002    ','GRASACA GRASAS SAN CARLOS     ','AV. LA SALLE TORRE PHELPS PISO','14 OFICINA A Y C              ','CARACAS                       ','J-31104331-4   '
'G','G005    ','AVECAISA                      ','Av. LIBERTADOR MULTICENTRO    ','EMPRESARIAL DEL ESTE EDIF MIR.','PISO 9 OFIC 93 CHACAO-CARACAS ','J-08521486-0   '
'G','G006    ','ALIMENTOS KELLOGG  S.A.       ','FINAL AV. BOLIVAR ESTE #52    ','SAN JACINTO  MARACAY EDO.     ','ARAGUA                        ','J-0000-1021-8  '
'G','G007    ','COMERC.DE ALIMENTOS VALFA C.A.','CALLE NEGRO PRIMERO C/AV SUCRE','CASA N*4-4 SECTOR SAN JOAQUIN ','SAN JOAQUIN EDO CARABOBO      ','J-301936167    '
